level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	6	1	2	3	706	626	29	23	59.319237	«d
5	1	6	1	2	4	805	628	61	22	62.438602	1,59
4	1	6	1	3	0	242	667	657	35	-1	
5	1	6	1	3	1	242	678	96	24	93.298973	SCONTO
5	1	6	1	3	2	357	676	96	24	92.377853	FIDATY
5	1	6	1	3	3	474	674	45	24	96.910210	30%
5	1	6	1	3	4	733	690	5	6	0.000000	L
5	1	6	1	3	5	781	663	11	42	0.000000	0
5	1	6	1	3	6	803	667	96	23	0.000000	0,51-S
4	1	6	1	4	0	208	704	659	39	-1	
5	1	6	1	4	1	208	719	146	24	92.938179	SFILATINO
5	1	6	1	4	2	374	715	112	25	96.954002	MORBIDO
5	1	6	1	4	3	706	713	29	17	55.428131	“a
5	1	6	1	4	4	805	704	62	24	92.172798	2,13
4	1	6	1	5	0	308	752	262	30	-1	
5	1	6	1	5	1	308	759	13	23	96.763863	2
5	1	6	1	5	2	408	765	12	13	94.670334	x
5	1	6	1	5	3	506	752	64	25	91.313980	0,39
4	1	6	1	6	0	147	782	722	42	-1	
5	1	6	1	6	1	147	800	12	20	33.299728	il
5	1	6	1	6	2	208	799	128	25	66.778000	POWERADE
5	1	6	1	6	3	357	796	129	24	96.541321	MOUNTAIN
5	1	6	1	6	4	707	788	29	21	55.196846	*d
5	1	6	1	6	5	808	782	61	26	68.074707	1,78
4	1	6	1	7	0	208	822	662	41	-1	
5	1	6	1	7	1	208	841	62	22	93.295029	YOGA
5	1	6	1	7	2	290	832	262	29	48.294373	NETT.ALBICOCCAIL
5	1	6	1	7	3	707	826	30	23	92.068474	*d
5	1	6	1	7	4	809	822	61	25	95.312294	1,69
4	1	6	1	8	0	240	862	664	40	-1	
5	1	6	1	8	1	240	877	96	25	0.000000	SCONTO
5	1	6	1	8	2	356	874	96	23	93.066917	FIDATY
5	1	6	1	8	3	473	873	46	21	96.677765	30%
5	1	6	1	8	4	807	862	97	26	70.024994	0,51-S
